id,title,author_name,conference_name,organization_name
22,自閉スペクトラム症者のオノマトペによる特異的な触感表現,粟田 里恵,日本認知科学会第42回大会,大阪大学大学院情報科学研究科
23,自閉スペクトラム症者のオノマトペによる特異的な触感表現,大泉 匡史,日本認知科学会第42回大会,東京大学大学院総合文化研究科
24,自閉スペクトラム症者のオノマトペによる特異的な触感表現,桑野 大輔,日本認知科学会第42回大会,公益財団法人　神経研究所
25,自閉スペクトラム症者のオノマトペによる特異的な触感表現,佐治 伸郎,日本認知科学会第42回大会,早稲田大学大学院人間科学研究科
26,自閉スペクトラム症者のオノマトペによる特異的な触感表現,丹治 和世,日本認知科学会第42回大会,公益財団法人　神経研究所
27,自閉スペクトラム症者のオノマトペによる特異的な触感表現,加藤 進昌,日本認知科学会第42回大会,公益財団法人　神経研究所
28,混合研究法による舞楽鑑賞の日独文化比較,櫃割 仁平,日本認知科学会第42回大会,ヘルムートシュミット大学
29,混合研究法による舞楽鑑賞の日独文化比較,Selina Weiler,日本認知科学会第42回大会,ヘルムートシュミット大学
30,混合研究法による舞楽鑑賞の日独文化比較,Maria Manolika,日本認知科学会第42回大会,ヘルムートシュミット大学
31,混合研究法による舞楽鑑賞の日独文化比較,Thomas Jacobsen,日本認知科学会第42回大会,ヘルムートシュミット大学
32,認知パラメータに表現される行動傾向と感情特性,新堀 耕平,日本認知科学会第42回大会,静岡大学
33,認知パラメータに表現される行動傾向と感情特性,白砂 大,日本認知科学会第42回大会,静岡大学
34,認知パラメータに表現される行動傾向と感情特性,森田 純哉,日本認知科学会第42回大会,静岡大学
35,経験を「経路」として理解する―子どもの成長と街歩きを軸とする二人称研究の構想―,北 雄介,日本認知科学会第42回大会,長岡造形大学
36,日常生活における痒みの訴えと掻破行為,飯山 陸,日本認知科学会第42回大会,早稲田大学
37,日常生活における痒みの訴えと掻破行為,細馬 宏通,日本認知科学会第42回大会,早稲田大学
38,人々が自然とダンスを創作してしまうような教育プログラムのデザイン： 近藤良平氏の「いつの間にかダンス」アプローチに注目して,中野 優子,日本認知科学会第42回大会,東京大学大学院教育学研究科
39,人々が自然とダンスを創作してしまうような教育プログラムのデザイン： 近藤良平氏の「いつの間にかダンス」アプローチに注目して,清水 美紗都,日本認知科学会第42回大会,一般社団法人イロタピア
40,人々が自然とダンスを創作してしまうような教育プログラムのデザイン： 近藤良平氏の「いつの間にかダンス」アプローチに注目して,岡田 猛,日本認知科学会第42回大会,東京大学大学院教育学研究科
41,⾳声描写検討会における視覚障害者の映像体験と協働的イメージ構築 ―映画『ラジオ下神⽩』を事例に,田中 みゆき,日本認知科学会第42回大会,早稲田大学
42,フィールドワークにおける二重の外部性 ―沖縄の米軍基地反対運動を例に―,新原 将義,日本認知科学会第42回大会,武蔵大学
43,グループ・ダイナミックスが向き合う価値――認知科学との接点を探る,東村 知子,日本認知科学会第42回大会,京都教育大学
44,「クモ（SPIDER）」としてのわたしたちを記述する――「網の線」のなかで見出される「やさしい日本語」,石田 喜美,日本認知科学会第42回大会,横浜国立大学
45,研究者の脱中立と変容：LGBT活動を取り巻く人々の対立構造に巻き込まれた私たち,宮尻 琴実,日本認知科学会第42回大会,公立はこだて未来大学
46,研究者の脱中立と変容：LGBT活動を取り巻く人々の対立構造に巻き込まれた私たち,坂井田 瑠衣,日本認知科学会第42回大会,公立はこだて未来大学
47,プロジェクションとしての皮肉,内海 彰,日本認知科学会第42回大会,電気通信大学
48,アナロジー研究者にとってのプロジェクションー類似性を超えてー,荷方 邦夫,日本認知科学会第42回大会,金沢美術工芸大学
49,虫屋のプロジェクション：プロジェクション科学における投企性の位置,阿部 廣二,日本認知科学会第42回大会,東京都立大学
50,虫屋のプロジェクション：プロジェクション科学における投企性の位置,大山 星馬,日本認知科学会第42回大会,早稲田大学
51,総合討論,嶋田 総太郎,日本認知科学会第42回大会,明治大学
52,総合討論,岡田 浩之,日本認知科学会第42回大会,東京情報デザイン専門職大学
53,違和感ともどかしさの認知科学,諏訪 正樹,日本認知科学会第42回大会,慶應義塾大学
54,違和感ともどかしさの認知科学,伝 康晴,日本認知科学会第42回大会,千葉大学
55,違和感ともどかしさの認知科学,今宿 未悠,日本認知科学会第42回大会,詩人
56,違和感ともどかしさの認知科学,西村 ユミ,日本認知科学会第42回大会,東京都立大学
57,違和感ともどかしさの認知科学,松原 正樹,日本認知科学会第42回大会,筑波大学
58,エコーチェンバーの中での自律的認知：メタ認知・シミュレーション・グラウンディング,森田 純哉,日本認知科学会第42回大会,静岡大学
59,アテンションエコノミーと「認知過程の自由（cognitive liberty）」,小久保 智淳,日本認知科学会第42回大会,東京大学
60,オンライン対話環境を利用した情報流通を模倣するマイクロワールド研究,市川 雅也,日本認知科学会第42回大会,静岡大学
61,オンライン対話環境を利用した情報流通を模倣するマイクロワールド研究,竹内 勇剛,日本認知科学会第42回大会,静岡大学
62,相手を想像できるローカルSNSにおける意見形成ダイナミクスの比較分析,大本 義正,日本認知科学会第42回大会,静岡大学
63,相手を想像できるローカルSNSにおける意見形成ダイナミクスの比較分析,遊橋 裕泰,日本認知科学会第42回大会,静岡大学
64,大学生を対象としたリテラシー教育実験の試み：情報の身体接地性が信頼性評価に与える影響の調査​,遠山 紗矢香,日本認知科学会第42回大会,静岡大学大学院総合科学技術研究科
65,大学生を対象としたリテラシー教育実験の試み：情報の身体接地性が信頼性評価に与える影響の調査​,市川 淳,日本認知科学会第42回大会,静岡大学
66,情報の価値と自由：アテンションエコノミーのなかで,高口 鉄平,日本認知科学会第42回大会,静岡大学
67,生成AIと創作活動,清河 幸子,日本認知科学会第42回大会,東京大学
68,生成AIと創作活動,髙木 幸子,日本認知科学会第42回大会,常磐大学
69,生成AIと創作活動,大澤 博隆,日本認知科学会第42回大会,慶應義塾大学
70,生成AIと創作活動,葦沢 かもめ,日本認知科学会第42回大会,慶應義塾大学
71,生成AIと創作活動,阿部 慶賀,日本認知科学会第42回大会,和光大学
72,生成AIと創作活動,五十嵐 啓太,日本認知科学会第42回大会,長岡技術科学大学
73,生成AIと創作活動,髙橋 麻衣子,日本認知科学会第42回大会,早稲田大学
74,生成AIと創作活動,納谷 亮平,日本認知科学会第42回大会,筑波大学
75,生成AIと創作活動,原田 悦子,日本認知科学会第42回大会,筑波大学/イデアラボ
76,生成AIと創作活動,溝口 力丸,日本認知科学会第42回大会,早川書房
77,生成AIと創作活動,森 友亮,日本認知科学会第42回大会,東京大学
78,音楽知覚認知を通して考える人間の学習と熟達化,小堀 聡,日本認知科学会第42回大会,龍谷大学先端理工学部
79,音楽知覚認知を通して考える人間の学習と熟達化,正田 悠,日本認知科学会第42回大会,京都市立芸術大学音楽学部
80,音楽知覚認知を通して考える人間の学習と熟達化,松永 理恵,日本認知科学会第42回大会,神奈川大学人間科学部
81,曖昧性と創発のなかで生まれる音楽的コミュニケーション ―子どもの状態に応じた演奏の変化と意味づけの分析―,小林 梨紗,日本認知科学会第42回大会,筑波大学人間総合科学学術院/聖徳大学
82,曖昧性と創発のなかで生まれる音楽的コミュニケーション ―子どもの状態に応じた演奏の変化と意味づけの分析―,松原 正樹,日本認知科学会第42回大会,筑波大学図書館情報メディア系/慶應義塾大学
83,環境から考える遊びのデザイン：アフォーダンスの観点から捉える子どもの遊びのアートの実践事例,圡方 悠輝,日本認知科学会第42回大会,お茶の水女子大学
84,こどもたちがつながる園庭のデザイン,炭谷 将史,日本認知科学会第42回大会,花園大学
85,遊具のアフォーダンスの分析：生態幾何学の観点から,青山 慶,日本認知科学会第42回大会,岩手大学
86,遊具のアフォーダンスの分析：生態幾何学の観点から,佐々木 正人,日本認知科学会第42回大会,多摩美術大学
87,遊具のアフォーダンスの分析：生態幾何学の観点から,西尾 千尋,日本認知科学会第42回大会,甲南大学
88,遊具のアフォーダンスの分析：生態幾何学の観点から,山本 尚樹,日本認知科学会第42回大会,弘前学院大学
89,遊具のアフォーダンスの分析：生態幾何学の観点から,山﨑 寛恵,日本認知科学会第42回大会,東京学芸大学
90,遊具のアフォーダンスの分析：生態幾何学の観点から,藤井康介,日本認知科学会第42回大会,PLAY DESIGN LAB (by JAKUETS
91,遊具のアフォーダンスの分析：生態幾何学の観点から,本荘栄司,日本認知科学会第42回大会,PLAY DESIGN LAB (by JAKUETS
92,遊具のアフォーダンスの分析：生態幾何学の観点から,加藤將則,日本認知科学会第42回大会,PLAY DESIGN LAB (by JAKUETS
93,分散マーケティングと人間研究,橋田 浩一,日本認知科学会第42回大会,理研 ＡＩＰ
94,生成AIを活用したセルフケアの開発と展望,高木 源,日本認知科学会第42回大会,東北福祉大学
95,2025年の介護現場とその可能性,金子 智紀,日本認知科学会第42回大会,非営利型株式会社KOTOBUKI
96,コミュニティサイエンスの実践―心理学研究コミュニティ「あいまいと」における一般市民と研究者による共同研究の事例を通して,林 尚芳,日本認知科学会第42回大会,心理学研究コミュニティ あいまいと
97,コミュニティサイエンスの実践―心理学研究コミュニティ「あいまいと」における一般市民と研究者による共同研究の事例を通して,櫃割 仁平,日本認知科学会第42回大会,ヘルムートシュミット大学
98,身体とナラティブの相互作用,嶋田 総太郎,日本認知科学会第42回大会,明治大学
99,身体とナラティブの相互作用,東 美由紀,日本認知科学会第42回大会,明治大学
100,身体とナラティブの相互作用,大住 倫弘,日本認知科学会第42回大会,畿央大学
101,身体とナラティブの相互作用,三枝 信吾,日本認知科学会第42回大会,東海大学
102,身体とナラティブの相互作用,田中 彰吾,日本認知科学会第42回大会,東海大学
103,感情としての好奇心 ―美的経験や創造活動を支える好奇心の心理的メカニズム―,西川 一二,日本認知科学会第42回大会,大阪商業大学
104,偏在する創造性に出会う私たち,阿部 慶賀,日本認知科学会第42回大会,和光大学
105,世代断絶した和菓子の復活にみる創造性：レシピとしての物語,竹内 一真,日本認知科学会第42回大会,多摩大学グローバルスタディーズ学部
106,同人作家における二次創作への動機とその過程,田中 吉史,日本認知科学会第42回大会,金沢工業大学
107,同人作家における二次創作への動機とその過程,高柳 蘭,日本認知科学会第42回大会,金沢工業大学
108,決定的瞬間とは何か—測定尺度作成の試み—,猪股 健太郎,日本認知科学会第42回大会,熊本学園大学
109,指定討論及びディスカッション,大塚 裕子,日本認知科学会第42回大会,子中保育園
110,指定討論及びディスカッション,荷方 邦夫,日本認知科学会第42回大会,金沢美術工芸大学
111,指定討論及びディスカッション,竹内 一真,日本認知科学会第42回大会,多摩大学グローバルスタディーズ学部
112,指定討論及びディスカッション,田中 吉史,日本認知科学会第42回大会,金沢工業大学　メディア情報学部
113,指定討論及びディスカッション,猪股 健太郎,日本認知科学会第42回大会,熊本学園大学
114,合奏を「仕上げる」過程における奏者の関係調整,板垣 寧々,日本認知科学会第42回大会,早稲田大学/日本学術振興会
115,声楽者の練習におけるホール音場シミュレータの効果,松尾 綾子,日本認知科学会第42回大会,早稲田大学/明治大学
116,声楽者の練習におけるホール音場シミュレータの効果,中村 日和,日本認知科学会第42回大会,明治大学
117,声楽者の練習におけるホール音場シミュレータの効果,上野 佳奈子,日本認知科学会第42回大会,明治大学
118,総合討論,西本 智実,日本認知科学会第42回大会,EXPO2025 ローマ教皇庁パビリオンアンバサダー/イタリアパビリオンアンバサダー
119,総合討論,宮崎 秀生,日本認知科学会第42回大会,ヤマハ株式会社
120,深い不良設定問題としての理解の認知計算過程,日髙 昇平,日本認知科学会第42回大会,北陸先端科学技術大学院
121,認知モデリングと自然言語処理,大関 洋平,日本認知科学会第42回大会,東京大学
122,報酬に基づく学習における構造の寄与,塚村 祐希,日本認知科学会第42回大会,東京大学
123,ポスト学習時代の自己他者理解：認知モデルによるメタ認知的自律性の設計,森田 純哉,日本認知科学会第42回大会,静岡大学
124,構造発見に基づく知識・学習の転移可能性,鳥居 拓馬,日本認知科学会第42回大会,東京電機大学
125,ナラティブに基づく現象的意識の探究,西田 知史,日本認知科学会第42回大会,情報通信研究機構
126,AnalysisとSynthesisによる認知とナラティブのダイナミクスの探究,石川 翔吾,日本認知科学会第42回大会,静岡大学
127,ナラティブは「何」を変えるのか？対象を考慮した物語説得への多角的アプローチの必要性,小森 めぐみ,日本認知科学会第42回大会,東京女子大学
128,認知とナラティブ：物語論の視座,須田 永遠,日本認知科学会第42回大会,名古屋大学
129,認知とナラティブ：物語論の視座,武富 有香,日本認知科学会第42回大会,ZEN大学
130,話者と説得的メッセージに対して聞き手がもつ印象に話者の自己接触行動が与える影響,門田 圭祐,日本認知科学会第42回大会,早稲田大学
131,話者と説得的メッセージに対して聞き手がもつ印象に話者の自己接触行動が与える影響,渋田 芳河,日本認知科学会第42回大会,なし
132,話者と説得的メッセージに対して聞き手がもつ印象に話者の自己接触行動が与える影響,関根 和生,日本認知科学会第42回大会,早稲田大学
133,音声を発する電子玩具と遊ぶ幼児はいかに描かれるか：「こどもちゃれんじ」ダイレクトメール内のマンガを対象とした分析,伊藤 崇,日本認知科学会第42回大会,北海道大学大学院教育学研究院
134,セレブリティ情報の付与によるパーソナルスペースの変化,阿部 慶賀,日本認知科学会第42回大会,和光大学
135,6歳と76歳の創造性の比較研究,髙岸 悟,日本認知科学会第42回大会,放送大学
136,心理専門職養成課程でのカウンセリング・ロールプレイ演習において質的・量的分析ソフトを活用した学習支援,中野 良樹,日本認知科学会第42回大会,秋田大学教育文化学部
137,能動的推論としての確証的SNS探索のモデル化の試み,福地 庸介,日本認知科学会第42回大会,東京都立大学
138,３次元動作解析システムによる，全身連動性を伴う動きのアプローチの柔軟性への影響：舞踊の滑らかでゆっくりした動きに着目して,清水 知恵,日本認知科学会第42回大会,福岡教育大学
139,３次元動作解析システムによる，全身連動性を伴う動きのアプローチの柔軟性への影響：舞踊の滑らかでゆっくりした動きに着目して,門脇 弘樹,日本認知科学会第42回大会,福岡教育大学
140,３次元動作解析システムによる，全身連動性を伴う動きのアプローチの柔軟性への影響：舞踊の滑らかでゆっくりした動きに着目して,梅野 貴俊,日本認知科学会第42回大会,福岡教育大学
141,３次元動作解析システムによる，全身連動性を伴う動きのアプローチの柔軟性への影響：舞踊の滑らかでゆっくりした動きに着目して,中村 貴志,日本認知科学会第42回大会,福岡教育大学
142,ハイブリッド・インテリジェンスにおけるAI生成情報に対する開発者の情報選択―遠方探索促進効果と限界,廣田 章光,日本認知科学会第42回大会,流通科学大学、近畿大学デザイン・クリエイティブ研究所
143,敵対的操作が人の意思決定に与える影響のモデル化,内海 健介,日本認知科学会第42回大会,大阪大学大学院工学研究科
144,敵対的操作が人の意思決定に与える影響のモデル化,東 広志,日本認知科学会第42回大会,大阪大学大学院工学研究科
145,敵対的操作が人の意思決定に与える影響のモデル化,田中 雄一,日本認知科学会第42回大会,大阪大学大学院工学研究科
146,敵対的操作が人の意思決定に与える影響のモデル化,横田 陽樹,日本認知科学会第42回大会,大阪大学大学院工学研究科
147,アンカリング効果は意味プライミングか: Mussweiler & Strack (2000) の概念的追試,西田 勇樹,日本認知科学会第42回大会,立命館大学BKC社系研究機構
148,アンカリング効果は意味プライミングか: Mussweiler & Strack (2000) の概念的追試,山﨑 大暉,日本認知科学会第42回大会,京都大学大学院文学研究科
149,アンカリング効果は意味プライミングか: Mussweiler & Strack (2000) の概念的追試,服部 雅史,日本認知科学会第42回大会,立命館大学
150,アイデア発想を必要とする職業におけるひらめきの時間軸の調査,木幡 容子,日本認知科学会第42回大会,株式会社電通
151,アイデア発想を必要とする職業におけるひらめきの時間軸の調査,川上 直人,日本認知科学会第42回大会,株式会社電通
152,アイデア発想を必要とする職業におけるひらめきの時間軸の調査,小澤 治朗,日本認知科学会第42回大会,株式会社電通
153,アイデア発想を必要とする職業におけるひらめきの時間軸の調査,重政 直人,日本認知科学会第42回大会,株式会社電通
154,アイデア発想を必要とする職業におけるひらめきの時間軸の調査,國吉 康夫,日本認知科学会第42回大会,東京大学 AIセンター
155,アイデア発想を必要とする職業におけるひらめきの時間軸の調査,鶴岡 慶雅,日本認知科学会第42回大会,東京大学 AIセンター
156,アイデア発想を必要とする職業におけるひらめきの時間軸の調査,五十嵐 健夫,日本認知科学会第42回大会,東京大学 AIセンター
157,衝突回避の役割判断を誘導する注視ナッジ,二宮 由樹,日本認知科学会第42回大会,名古屋大学
158,衝突回避の役割判断を誘導する注視ナッジ,松林 翔太,日本認知科学会第42回大会,名古屋大学
159,衝突回避の役割判断を誘導する注視ナッジ,三輪 和久,日本認知科学会第42回大会,名古屋大学
160,衝突回避の役割判断を誘導する注視ナッジ,寺井 仁,日本認知科学会第42回大会,近畿大学
161,衝突回避の役割判断を誘導する注視ナッジ,唐沢 穣,日本認知科学会第42回大会,名古屋大学
162,リハビリテーション場面における身体動作の帰属先の検討,牧野 遼作,日本認知科学会第42回大会,早稲田大学
163,リハビリテーション場面における身体動作の帰属先の検討,山本 敦,日本認知科学会第42回大会,早稲田大学
164,リハビリテーション場面における身体動作の帰属先の検討,門田 圭祐,日本認知科学会第42回大会,早稲田大学
165,リハビリテーション場面における身体動作の帰属先の検討,八木 崇行,日本認知科学会第42回大会,静清リハビリテーション病院
166,リハビリテーション場面における身体動作の帰属先の検討,高田 勇,日本認知科学会第42回大会,加賀市医療センター
167,リハビリテーション場面における身体動作の帰属先の検討,安田和弘,日本認知科学会第42回大会,東京保健医療専門職大学
168,リハビリテーション場面における身体動作の帰属先の検討,児玉 謙太郎,日本認知科学会第42回大会,東京都立大学
169,企業内での継続的な実践を想定したインタビュー手法の構成的開発,崎山 加奈子,日本認知科学会第42回大会,株式会社 明治　研究本部　物性・感性研究ユニット　感性工学G
170,企業内での継続的な実践を想定したインタビュー手法の構成的開発,橋本 佳穂里,日本認知科学会第42回大会,株式会社 明治　研究本部　物性・感性研究ユニット　感性工学G
171,企業内での継続的な実践を想定したインタビュー手法の構成的開発,外山 義雄,日本認知科学会第42回大会,株式会社 明治　研究本部　物性・感性研究ユニット
172,企業内での継続的な実践を想定したインタビュー手法の構成的開発,松原 正樹,日本認知科学会第42回大会,筑波大学
173,受け手特定の不確定性が高く、参与者の協働性が低い状況における受け渡しの達成にかかわる実験的検討,大髙 愛,日本認知科学会第42回大会,札幌学院大学心理学部臨床心理学科
174,受け手特定の不確定性が高く、参与者の協働性が低い状況における受け渡しの達成にかかわる実験的検討,森 直久,日本認知科学会第42回大会,札幌学院大学
175,メカニズム説明が主観的知識及び態度に与える影響：インターネットを用いた説明と自力での説明を比較した検討,岩谷 舟真,日本認知科学会第42回大会,関西学院大学
176,着ぐるみ恐怖と関連する認知的要因,白井 理沙子,日本認知科学会第42回大会,早稲田大学　理工学術院
177,着ぐるみ恐怖と関連する認知的要因,渡邊 克巳,日本認知科学会第42回大会,早稲田大学　理工学術院
178,雅楽の稽古における唱歌使用の観察的検討,村上 瞳,日本認知科学会第42回大会,神戸大学大学院　人間発達環境学研究科
179,雅楽の稽古における唱歌使用の観察的検討,鎌田 紗弓,日本認知科学会第42回大会,東京文化財研究所 無形文化遺産部 無形文化財研究室　研究員
180,雅楽の稽古における唱歌使用の観察的検討,野中 哲士,日本認知科学会第42回大会,神戸大学大学院　人間発達環境学研究科　教授
181,誤びゅうの学習はマイサイドバイアスを抑制するか？,山本 輝太郎,日本認知科学会第42回大会,金沢星稜大学
182,課題の一部への着手の促しが先延ばしに及ぼす効果：課題の提出率に着目した検討,関 大也,日本認知科学会第42回大会,東京大学
183,課題の一部への着手の促しが先延ばしに及ぼす効果：課題の提出率に着目した検討,清河 幸子,日本認知科学会第42回大会,東京大学
184,人とAIの協働におけるバイアスの相互作用：効果と信頼性の検討,白砂 大,日本認知科学会第42回大会,静岡大学
185,人とAIの協働におけるバイアスの相互作用：効果と信頼性の検討,本田 秀仁,日本認知科学会第42回大会,追手門学院大学
186,人とAIの協働におけるバイアスの相互作用：効果と信頼性の検討,香川 璃奈,日本認知科学会第42回大会,産業技術総合研究所
187,高齢者における否定を含む命題の真偽判断の訓練効果,金城 光,日本認知科学会第42回大会,明治学院大学　心理学部
188,高齢者における否定を含む命題の真偽判断の訓練効果,沈 慕榕,日本認知科学会第42回大会,明治学院大学　心理学部
189,高齢者における否定を含む命題の真偽判断の訓練効果,佐久間 崚成,日本認知科学会第42回大会,明治学院大学　心理学部
190,購買意思決定プロセスにおける検索行動の分析,田畑 博之,日本認知科学会第42回大会,公立はこだて未来大学大学院
191,購買意思決定プロセスにおける検索行動の分析,元木 環,日本認知科学会第42回大会,公立はこだて未来大学
192,顔皮膚血流の実装が人工エージェントの人間らしさに与える影響の検討,二階堂 沙耶,日本認知科学会第42回大会,名古屋大学情報学研究科
193,顔皮膚血流の実装が人工エージェントの人間らしさに与える影響の検討,磯村 朋子,日本認知科学会第42回大会,名古屋大学情報学研究科
194,意味共活性化による視聴覚プライミング効果,成川 額史,日本認知科学会第42回大会,九州大学
195,意味共活性化による視聴覚プライミング効果,松香 敏彦,日本認知科学会第42回大会,千葉大学
196,他者からの注視が加減速行動に与える影響,松林 翔太,日本認知科学会第42回大会,名古屋大学
197,他者からの注視が加減速行動に与える影響,二宮 由樹,日本認知科学会第42回大会,名古屋大学
198,他者からの注視が加減速行動に与える影響,三輪 和久,日本認知科学会第42回大会,名古屋大学
199,他者からの注視が加減速行動に与える影響,寺井 仁,日本認知科学会第42回大会,近畿大学
200,他者からの注視が加減速行動に与える影響,唐沢 穣,日本認知科学会第42回大会,名古屋大学
201,プレゼンテーション時の緊張緩和手法の検討 ：ポジティブ表情のVRアバタの効果,篠原 優,日本認知科学会第42回大会,広島県東部子ども家庭センター
202,プレゼンテーション時の緊張緩和手法の検討 ：ポジティブ表情のVRアバタの効果,新垣 紀子,日本認知科学会第42回大会,成城大学
203,プレゼンテーション時の緊張緩和手法の検討 ：ポジティブ表情のVRアバタの効果,森 由美,日本認知科学会第42回大会,成城大学
204,職業文脈における比喩選好課題の開発と予備的評価,岡 隆之介,日本認知科学会第42回大会,追手門学院大学 心理学部
205,職業文脈における比喩選好課題の開発と予備的評価,神長 伸幸,日本認知科学会第42回大会,ミイダス株式会社 HRサイエンス研究所
206,シェアハウスの共用空間における私物のシェア過程の分析,野月 そよか,日本認知科学会第42回大会,青山学院大学社会情報学研究科
207,Twitter (現X) 上の〈出会い〉の場面における活動の選択,藤田 華奈,日本認知科学会第42回大会,公立はこだて未来大学
208,Twitter (現X) 上の〈出会い〉の場面における活動の選択,坂井田 瑠衣,日本認知科学会第42回大会,公立はこだて未来大学
209,共在状態における独り言の相互行為分析,坂井田 瑠衣,日本認知科学会第42回大会,公立はこだて未来大学
210,共在状態における独り言の相互行為分析,岡野 真衣,日本認知科学会第42回大会,公立はこだて未来大学
211,「選択肢の数」を決める認知メカニズム：行動実験による検討,菅沼 秀蔵,日本認知科学会第42回大会,東京大学
212,「選択肢の数」を決める認知メカニズム：行動実験による検討,隅田 莉央,日本認知科学会第42回大会,東京大学，日本学術振興会
213,「選択肢の数」を決める認知メカニズム：行動実験による検討,森 隆太郎,日本認知科学会第42回大会,東京大学，日本学術振興会
214,選択肢を広げる探索は後悔によって駆動されるか？：実験室実験による予備的検討,隅田 莉央,日本認知科学会第42回大会,東京大学，日本学術振興会
215,選択肢を広げる探索は後悔によって駆動されるか？：実験室実験による予備的検討,鈴木 啓太,日本認知科学会第42回大会,東京大学
216,選択肢を広げる探索は後悔によって駆動されるか？：実験室実験による予備的検討,村本 由紀子,日本認知科学会第42回大会,東京大学
217,経営理念が企業活動成果に及ぼす影響 ―テキストマイニングによる経営理念分析と企業活動成果における趨勢分析―,牧之内 洋和,日本認知科学会第42回大会,北九州市立大学大学院社会システム研究科博士後期課程
218,経営理念が企業活動成果に及ぼす影響 ―テキストマイニングによる経営理念分析と企業活動成果における趨勢分析―,松田 憲,日本認知科学会第42回大会,北九州市立大学大学院社会システム研究科教授
219,痒み発話と掻く行動はいかに会話に埋め込まれるか　―日常会話コーパスの事例から―,細馬 宏通,日本認知科学会第42回大会,早稲田大学
220,痒み発話と掻く行動はいかに会話に埋め込まれるか　―日常会話コーパスの事例から―,飯山 陸,日本認知科学会第42回大会,早稲田大学
221,不安が右折判断に及ぼす影響のACT-Rモデリング,長島 一真,日本認知科学会第42回大会,静岡大学
222,不安が右折判断に及ぼす影響のACT-Rモデリング,森田 純哉,日本認知科学会第42回大会,静岡大学
223,アラビア数字と漢数字の違いがアンカリング効果に与える影響,大貫 祐大郎,日本認知科学会第42回大会,"成城大学, 一橋大学"
224,アラビア数字と漢数字の違いがアンカリング効果に与える影響,大瀧 友里奈,日本認知科学会第42回大会,一橋大学
225,ジェスチャーと発話の時間的ダイナミクス： 脳磁図による神経基盤の検討,関根 和生,日本認知科学会第42回大会,早稲田大学
226,ジェスチャーと発話の時間的ダイナミクス： 脳磁図による神経基盤の検討,大隈 玲志,日本認知科学会第42回大会,早稲田大学
227,ジェスチャーと発話の時間的ダイナミクス： 脳磁図による神経基盤の検討,番 浩志,日本認知科学会第42回大会,情報通信研究機構
