学会タイトル,発表タイトル,発表者,発表者の所属
日本応用数理学会2025年度年会,◎シングルセル遺伝子発現データに対するクラスタリングのための差分進化に基づく特徴選択法,櫻井 鉄也,筑波大学
日本応用数理学会2025年度年会,Norm bounds on the complimentary error matrix function,宮島 信也,岩手大学
日本応用数理学会2025年度年会,Norm bounds on the complimentary error matrix function,Sadeghi Amir,Islamic Azad University
日本応用数理学会2025年度年会,前処理付きCGS法に対するDeflationの適用,高谷 周平,個人
日本応用数理学会2025年度年会,微分作用素の固有値問題に対する複素モーメントを用いた精度保証付き数値計算とMathieu方程式およびSchrödinger方程式への応用,今倉 暁,筑波大学
日本応用数理学会2025年度年会,微分作用素の固有値問題に対する複素モーメントを用いた精度保証付き数値計算とMathieu方程式およびSchrödinger方程式への応用,保國 惠一,筑波大学
日本応用数理学会2025年度年会,微分作用素の固有値問題に対する複素モーメントを用いた精度保証付き数値計算とMathieu方程式およびSchrödinger方程式への応用,高安 亮紀,筑波大学
日本応用数理学会2025年度年会,縦長行列に対する列選択付きハウスホルダ型QR分解とその分散並列化,村上 弘,東京都立大学
日本応用数理学会2025年度年会,Intel AVX-512命令を用いた複数のモジュラ逆数計算の高速化,高橋 大介,筑波大学
日本応用数理学会2025年度年会,複数ノードを用いた大規模な四倍精度行列乗算の実装,河野 郁也,静岡理工科大学
日本応用数理学会2025年度年会,大学学部生へのHPC技術教育と機械学習・行列乗算の並列計算,河野 郁也,静岡理工科大学
日本応用数理学会2025年度年会,大学学部生へのHPC技術教育と機械学習・行列乗算の並列計算,久保埜 成弥,静岡理工科大学
日本応用数理学会2025年度年会,大学学部生へのHPC技術教育と機械学習・行列乗算の並列計算,打桐 大晃,静岡理工科大学
日本応用数理学会2025年度年会,◎FPGAを用いた多様な演算精度による画像認識アルゴリズムの性能評価,栗原 宏綺,静岡理工科大学
日本応用数理学会2025年度年会,◎FPGAを用いた多様な演算精度による画像認識アルゴリズムの性能評価,河野 郁也,静岡理工科大学
日本応用数理学会2025年度年会,複素基本線形計算と多項式評価計算を最適化した多倍長精度演算ライブラリBNCmatmul 0.22,幸谷 智紀,追手門学院大学
日本応用数理学会2025年度年会,◎Cerebras CS-2における疑似倍精度行列積,松崎 竜之介,明治大学
日本応用数理学会2025年度年会,◎Cerebras CS-2における疑似倍精度行列積,椋木 大地,名古屋大学　情報基盤センター
日本応用数理学会2025年度年会,◎Cerebras CS-2における疑似倍精度行列積,宮島 敬明,明治大学
日本応用数理学会2025年度年会,[企画講演] AI向け低精度演算の動向と尾崎スキームによるFP64演算への適用可能性の検討,椋木 大地,名古屋大学情報基盤センター
日本応用数理学会2025年度年会,[企画講演] AI向け低精度演算の動向と尾崎スキームによるFP64演算への適用可能性の検討,林 俊一郎,名古屋大学大学院情報学研究科
日本応用数理学会2025年度年会,◎Stability analysis and optimal error estimation of local discontinuous Galerkin method for stochastic two-dimensional KdV equation,Liu Xuewei,名古屋大学
日本応用数理学会2025年度年会,◎Stability analysis and optimal error estimation of local discontinuous Galerkin method for stochastic two-dimensional KdV equation,張 紹良,名古屋大学
日本応用数理学会2025年度年会,◎Stability analysis and optimal error estimation of local discontinuous Galerkin method for stochastic two-dimensional KdV equation,Ding Xiaohua,ハルビン工業大学
日本応用数理学会2025年度年会,◎変形AAAアルゴリズムの事後誤差評価に関する検討,吉田 元紀,東京大学大学院
日本応用数理学会2025年度年会,◎変形AAAアルゴリズムの事後誤差評価に関する検討,田中 健一郎,東京科学大学
日本応用数理学会2025年度年会,3次元Poisson方程式の境界値問題のための有限要素法におけるメッシュ分割,杉田 幸亮,Wayne State University
日本応用数理学会2025年度年会,3次元Poisson方程式の境界値問題のための有限要素法におけるメッシュ分割,Li Hengguang,Wayne State University
日本応用数理学会2025年度年会,◎Space–Time法による波動方程式の数値解析におけるDirichlet境界安定化手法の検討,谷口 靖憲,東京大学
日本応用数理学会2025年度年会,◎Space–Time法による波動方程式の数値解析におけるDirichlet境界安定化手法の検討,柏原 崇人,東京大学
日本応用数理学会2025年度年会,◎Space–Time法による波動方程式の数値解析におけるDirichlet境界安定化手法の検討,滝沢 研二,早稲田大学
日本応用数理学会2025年度年会,偏微分方程式の有限体積法・粒子法ハイブリッド計算,降籏 大介,大阪大学D3センター
日本応用数理学会2025年度年会,最適輸送と移流による流れ場の補間,堀江 正信,株式会社ＲＩＣＯＳ
日本応用数理学会2025年度年会,最適輸送と移流による流れ場の補間,中嶋 怜央,株式会社ＲＩＣＯＳ
日本応用数理学会2025年度年会,最適輸送と移流による流れ場の補間,佐藤 慎太郎,東北大学
日本応用数理学会2025年度年会,あるベクトル場の波動方程式における構造保存数値計算について,土屋 拓也,明治学院大学
日本応用数理学会2025年度年会,固体境界が埋め込まれたナビエ・ストークス方程式と画像データ駆動流れシミュレーションへの応用,大島 伸行,北海道大学
日本応用数理学会2025年度年会,固体境界が埋め込まれたナビエ・ストークス方程式と画像データ駆動流れシミュレーションへの応用,中道 信人,北海道大学
日本応用数理学会2025年度年会,固体境界が埋め込まれたナビエ・ストークス方程式と画像データ駆動流れシミュレーションへの応用,曺 永和,北海道大学
日本応用数理学会2025年度年会,IMT-DE変換を⽤いた関数近似,緒方 秀教,電気通信大学
日本応用数理学会2025年度年会,円柱領域におけるdivergence-free有限要素解の構築と厳密誤差解析,劉 雪峰,東京女子大学
日本応用数理学会2025年度年会,曲線要素を用いた３次元直交選点有限要素法による曲線矩形管路のStokes流れの数値解析,大久保 孝樹,函館高専名誉教授
日本応用数理学会2025年度年会,感染症流行時における人々の移動に関する意思決定のタイミング：宿泊予約データと携帯電話位置情報データの統合分析,大森 亮介,北海道大学
日本応用数理学会2025年度年会,感染症流行時における人々の移動に関する意思決定のタイミング：宿泊予約データと携帯電話位置情報データの統合分析,伊藤 公一,同志社大学
日本応用数理学会2025年度年会,感染症流行時における人々の移動に関する意思決定のタイミング：宿泊予約データと携帯電話位置情報データの統合分析,金光 俊輔,株式会社リクルート
日本応用数理学会2025年度年会,感染症流行時における人々の移動に関する意思決定のタイミング：宿泊予約データと携帯電話位置情報データの統合分析,木村 隆介,株式会社リクルート
日本応用数理学会2025年度年会,◎固体の自己駆動体運動に対する反応拡散系モデル,本橋 樹,北海道大学大学院理学院
日本応用数理学会2025年度年会,◎固体の自己駆動体運動に対する反応拡散系モデル,北畑 裕之,千葉大学大学院理学研究院
日本応用数理学会2025年度年会,◎固体の自己駆動体運動に対する反応拡散系モデル,中田 聡,広島大学大学院統合生命科学研究科
日本応用数理学会2025年度年会,◎固体の自己駆動体運動に対する反応拡散系モデル,榊原 航也,金沢大学理工研究域数物科学系
日本応用数理学会2025年度年会,◎固体の自己駆動体運動に対する反応拡散系モデル,高棹 圭介,京都大学大学院理学研究科
日本応用数理学会2025年度年会,◎固体の自己駆動体運動に対する反応拡散系モデル,物部 治徳,大阪公立大学大学院理学研究科
日本応用数理学会2025年度年会,◎固体の自己駆動体運動に対する反応拡散系モデル,中村 健一,明治大学研究・知財戦略機構
日本応用数理学会2025年度年会,◎固体の自己駆動体運動に対する反応拡散系モデル,藤野 拓也,広島大学大学院理学研究科
日本応用数理学会2025年度年会,◎固体の自己駆動体運動に対する反応拡散系モデル,長山 雅晴,北海道大学電子科学研究所
日本応用数理学会2025年度年会,◎高速道路で発生するハンチング現象の周波数解析,矢可部 寛太,関西大学
日本応用数理学会2025年度年会,◎高速道路で発生するハンチング現象の周波数解析,金城 佳世,埼玉大学
日本応用数理学会2025年度年会,◎高速道路で発生するハンチング現象の周波数解析,岡本 和也,早稲田大学
日本応用数理学会2025年度年会,◎高速道路で発生するハンチング現象の周波数解析,友枝 明保,関西大学
日本応用数理学会2025年度年会,◎ネットワーク上のSIRモデルにおける感染率と最大感染者数の関係,大住 七重,宇都宮大学
日本応用数理学会2025年度年会,◎ネットワーク上のSIRモデルにおける感染率と最大感染者数の関係,小池 正史,宇都宮大学
日本応用数理学会2025年度年会,◎ネットワーク上のSIRモデルにおける感染率と最大感染者数の関係,齋藤 雅子,宇都宮大学
日本応用数理学会2025年度年会,◎ネットワーク上のSIRモデルにおける感染率と最大感染者数の関係,矢嶋 徹,宇都宮大学
日本応用数理学会2025年度年会,完全グラフに対応する2種類の離散 lp ソボレフ不等式の最良定数,山岸 弘幸,東京都立産業技術高等専門学校
日本応用数理学会2025年度年会,完全グラフに対応する2種類の離散 lp ソボレフ不等式の最良定数,渡辺 宏太郎,防衛大学校
日本応用数理学会2025年度年会,完全グラフに対応する2種類の離散 lp ソボレフ不等式の最良定数,永井 敦,津田塾大学
日本応用数理学会2025年度年会,◎Calogero-Bogoyavlenskii-Schiff方程式の楕円ソリトン解,若松 大誠,早稲田大学大学院 基幹理工学研究科
日本応用数理学会2025年度年会,◎Calogero-Bogoyavlenskii-Schiff方程式の楕円ソリトン解,丸野 健一,早稲田大学 理工学術院
日本応用数理学会2025年度年会,◎Calogero-Bogoyavlenskii-Schiff方程式の楕円ソリトン解,Shangshuai Li,上海大学
日本応用数理学会2025年度年会,◎Calogero-Bogoyavlenskii-Schiff方程式の楕円ソリトン解,Da-jun Zhang,上海大学
日本応用数理学会2025年度年会,◎多成分短パルス型方程式の可積分性を保つ全離散化,堀 綾子,早稲田大学基幹理工学研究科
日本応用数理学会2025年度年会,◎多成分短パルス型方程式の可積分性を保つ全離散化,丸野 健一,早稲田大学理工学術院
日本応用数理学会2025年度年会,◎多成分短パルス型方程式の可積分性を保つ全離散化,田中 悠太,早稲田大学理工学術院
日本応用数理学会2025年度年会,◎多成分短パルス型方程式の可積分性を保つ全離散化,太田 泰広,神戸大学理学部
日本応用数理学会2025年度年会,◎多成分短パルス型方程式の可積分性を保つ全離散化,Feng Bao-Feng,テキサス大学リオグランデバリー校
日本応用数理学会2025年度年会,4次元相空間保存系のダイナミクス,佐々 成正,日本原子力研究開発機構
日本応用数理学会2025年度年会,◎D型クラスター写像の変形に関連する離散可積分系,キム ウギョン,東京大学大学院数理科学研究科
日本応用数理学会2025年度年会,カライドサイクルの存在証明,重富 尚太,九州大学マス・フォア・インダストリ研究所
日本応用数理学会2025年度年会,カライドサイクルの存在証明,梶原 健司,九州大学マス・フォア・インダストリ研究所
日本応用数理学会2025年度年会,カライドサイクルの存在証明,鍛冶 静雄,九州大学マス・フォア・インダストリ研究所，京都大学理学研究科
日本応用数理学会2025年度年会,パフィアンの恒等式を用いた対称平面分割の解析,上岡 修平,大阪成蹊大学
日本応用数理学会2025年度年会,可積分差分方程式によるBass モデル不適合分析,佐藤 大輔,福岡工業大学
日本応用数理学会2025年度年会,差分方程式の無限遠点におけるトロピカル線形化と安定性解析,西田 優樹,京都府立大学
日本応用数理学会2025年度年会,差分方程式の無限遠点におけるトロピカル線形化と安定性解析,渡邉 扇之介,福知山公立大学
日本応用数理学会2025年度年会,差分方程式の無限遠点におけるトロピカル線形化と安定性解析,渡邊 芳英,同志社大学
日本応用数理学会2025年度年会,◎二次元箱玉系について,粟田 円佳,早稲田大学
日本応用数理学会2025年度年会,◎二次元箱玉系について,高橋 大輔,早稲田大学
日本応用数理学会2025年度年会,◎再帰max-plus方程式の高階化で得られる漸近安定系について,大藪 連,早稲田大学
日本応用数理学会2025年度年会,◎再帰max-plus方程式の高階化で得られる漸近安定系について,高橋 大輔,早稲田大学
日本応用数理学会2025年度年会,ロバストカオスを生じる超離散力学系,大森 祥輔,法政大学
日本応用数理学会2025年度年会,ロバストカオスを生じる超離散力学系,山崎 義弘,早稲田大学
日本応用数理学会2025年度年会,HPC-GENIE: LLMを利用したHPCコード自動生成プロジェクト -- 概要とケーススタディ--,片桐 孝洋,名古屋大学
日本応用数理学会2025年度年会,HPC-GENIE: LLMを利用したHPCコード自動生成プロジェクト -- 概要とケーススタディ--,林 俊一郎,名古屋大学
日本応用数理学会2025年度年会,HPC-GENIE: LLMを利用したHPCコード自動生成プロジェクト -- 概要とケーススタディ--,椋木 大地,名古屋大学
日本応用数理学会2025年度年会,HPC-GENIE: LLMを利用したHPCコード自動生成プロジェクト -- 概要とケーススタディ--,星野 哲也,名古屋大学
日本応用数理学会2025年度年会,HPC-GENIE: LLMを利用したHPCコード自動生成プロジェクト -- 概要とケーススタディ--,大島 聡史,九州大学
日本応用数理学会2025年度年会,動的負荷分散プラットフォーム(HALEOS)の評価,河合 直聡,東北大学
日本応用数理学会2025年度年会,◎テンソルトレイン分解を導入したKrylov部分空間法の検討と収束特性の解析,鳥井 公平,九州大学大学院システム情報科学府
日本応用数理学会2025年度年会,◎テンソルトレイン分解を導入したKrylov部分空間法の検討と収束特性の解析,小野 謙二,九州大学　情報基盤研究開発センター
日本応用数理学会2025年度年会,縦長行列の列ピボット付きQR分解に対するコレスキーQR型アルゴリズムの実装方法改良の検討,深谷 猛,北海道大学
日本応用数理学会2025年度年会,GPUクラスタにおける並列数論変換の自動チューニング,高橋 大介,筑波大学
日本応用数理学会2025年度年会,◎混合精度版ILU(0)前処理付きBiCGSTAB法における低精度方式実現方法による影響の分析,久木田 仁,工学院大学
日本応用数理学会2025年度年会,◎混合精度版ILU(0)前処理付きBiCGSTAB法における低精度方式実現方法による影響の分析,藤井 昭宏,工学院大学
日本応用数理学会2025年度年会,◎混合精度版ILU(0)前処理付きBiCGSTAB法における低精度方式実現方法による影響の分析,田中 輝雄,工学院大学
日本応用数理学会2025年度年会,[企画講演] スパコンMiyabiとGPUアプリケーション開発,下川辺 隆史,東京大学
日本応用数理学会2025年度年会,◎リザバーコンピューティングに基づくてんかん発作判別,岸本 勇太,北海道大学大学院理学院
日本応用数理学会2025年度年会,◎リザバーコンピューティングに基づくてんかん発作判別,行木 孝夫,北海道大学大学院理学研究院数学部門
日本応用数理学会2025年度年会,マルコフ連鎖準モンテカルロ法によるベイズ計算と高次元問題,原瀬 晋,立命館大学
日本応用数理学会2025年度年会,加重平均下での多腕バンディット問題におけるリグレット上限の短期間での改善,加藤 寛之,嘉悦大学
日本応用数理学会2025年度年会,◎Neural Sheaf Diffusion の普遍近似定理と交通予測への応用,軽部 友裕,東京大学
日本応用数理学会2025年度年会,◎Neural Sheaf Diffusion の普遍近似定理と交通予測への応用,矢野 良輔,東京海上ディーアール株式会社
日本応用数理学会2025年度年会,[企画講演] ◎PLaMo 2 における事後学習,野沢 健人,株式会社Preferred Networks
日本応用数理学会2025年度年会,[企画講演] バンディットアルゴリズムのランダム化に基づく高速化について,本多 淳也,京都大学 / 理研AIP
日本応用数理学会2025年度年会,◎RfR法によるデータ駆動力学系モデルの幾何学的構造解析,堤 夏輝,一橋大学
日本応用数理学会2025年度年会,◎RfR法によるデータ駆動力学系モデルの幾何学的構造解析,齊木 吉隆,一橋大学
日本応用数理学会2025年度年会,◎RfR法によるデータ駆動力学系モデルの幾何学的構造解析,中井 拳吾,岡山大学
日本応用数理学会2025年度年会,◎複数のハミルトン系を同時に学習するシンプレクティックニューラルネットワーク,徐 百歌,神戸大学大学院理学研究科
日本応用数理学会2025年度年会,◎複数のハミルトン系を同時に学習するシンプレクティックニューラルネットワーク,谷口 隆晴,神戸大学大学院理学研究科
日本応用数理学会2025年度年会,◎プリミティブ方程式に対するナッジング型データ同化の数学的側面について,古川 賢,富山大学
日本応用数理学会2025年度年会,◎リザーバーコンピューティングの高次元空間における力学系構造解析,中井 拳吾,岡山大学
日本応用数理学会2025年度年会,◎リザーバーコンピューティングの高次元空間における力学系構造解析,小林 幹,立正大学
日本応用数理学会2025年度年会,◎リザーバーコンピューティングの高次元空間における力学系構造解析,齊木 吉隆,一橋大学
日本応用数理学会2025年度年会,◎リザーバーコンピューティングの高次元空間における力学系構造解析,堤 夏輝,一橋大学
日本応用数理学会2025年度年会,◎ReLU DNNの二値化によるモデル圧縮,長瀬 准平,電気通信大学
日本応用数理学会2025年度年会,◎ReLU DNNの二値化によるモデル圧縮,石渡 哲哉,芝浦工業大学
日本応用数理学会2025年度年会,◎C*環を用いたカーネル法の拡張による関数データの解析,橋本 悠香,NTT株式会社
日本応用数理学会2025年度年会,◎φ^4スカラー場マシンによる多峰的モーメントマッチング問題の可解性について,加治佐 貴大,電気通信大学
日本応用数理学会2025年度年会,◎最適輸送問題が成すストリング・ダイアグラム,磯部 伸,理化学研究所　革新知能統合研究センター
日本応用数理学会2025年度年会,◎協力ゲーム理論に基づく分類タスクのための特徴量重要度評価,金丸 大樹,九州工業大学
日本応用数理学会2025年度年会,◎協力ゲーム理論に基づく分類タスクのための特徴量重要度評価,本田 あおい,九州工業大学
日本応用数理学会2025年度年会,◎包除積分によるLIMEの拡張と画像分類モデルの高次相互作用の可視化,和田 健汰,九州工業大学
日本応用数理学会2025年度年会,◎包除積分によるLIMEの拡張と画像分類モデルの高次相互作用の可視化,本田 あおい,九州工業大学
日本応用数理学会2025年度年会,誤差逆伝播法を用いない新たなる勾配降下法構築によるLSTMの予測精度向上と高速化、およびリザバーコンピューティングの二重ループ学習化,米田 剛,一橋大学大学院経済学研究科
日本応用数理学会2025年度年会,半群の増大度に基づく深層学習の汎化誤差評価,園田 翔,"理化学研究所, 株式会社サイバーエージェント"
日本応用数理学会2025年度年会,半群の増大度に基づく深層学習の汎化誤差評価,橋本 悠香,"NTT株式会社, 理化学研究所"
日本応用数理学会2025年度年会,半群の増大度に基づく深層学習の汎化誤差評価,石川 勲,"京都大学, 理化学研究所"
日本応用数理学会2025年度年会,半群の増大度に基づく深層学習の汎化誤差評価,池田 正弘,"大阪大学, 理化学研究所"
日本応用数理学会2025年度年会,有限分割のKolmogorov-Sinaiエントロピーとカオス尺度,奥富 秀俊,東芝情報システム株式会社
日本応用数理学会2025年度年会,有限分割のKolmogorov-Sinaiエントロピーとカオス尺度,真尾 朋行,東芝情報システム株式会社
日本応用数理学会2025年度年会,有限分割のKolmogorov-Sinaiエントロピーとカオス尺度,梅野 健,京都大学
日本応用数理学会2025年度年会,周期軌道に着目した順序ネットワークを用いた位相的エントロピーの数値計算,福島 真太朗,トヨタ自動車株式会社
日本応用数理学会2025年度年会,周期軌道に着目した順序ネットワークを用いた位相的エントロピーの数値計算,谷澤 俊弘,トヨタ自動車株式会社
日本応用数理学会2025年度年会,整数化した4次元Lorenz-Stenflo方程式の出力値系列に関する乱数性の調査,神﨑 啓志,九州工業大学
日本応用数理学会2025年度年会,整数化した4次元Lorenz-Stenflo方程式の出力値系列に関する乱数性の調査,高市 康平,九州工業大学
日本応用数理学会2025年度年会,整数化した4次元Lorenz-Stenflo方程式の出力値系列に関する乱数性の調査,Yan Jun-Juh,台湾国立勤益科技大学
日本応用数理学会2025年度年会,整数化した4次元Lorenz-Stenflo方程式の出力値系列に関する乱数性の調査,宮崎 武,九州情報大学
日本応用数理学会2025年度年会,整数化した4次元Lorenz-Stenflo方程式の出力値系列に関する乱数性の調査,上原 聡,北九州市立大学
日本応用数理学会2025年度年会,整数化した4次元Lorenz-Stenflo方程式の出力値系列に関する乱数性の調査,荒木 俊輔,九州工業大学
日本応用数理学会2025年度年会,◎整数化した4次元Lorenz-Stenflo方程式を用いた擬似乱数ビット列共有手法における同期に関する一考察,髙市 康平,九州工業大学
日本応用数理学会2025年度年会,◎整数化した4次元Lorenz-Stenflo方程式を用いた擬似乱数ビット列共有手法における同期に関する一考察,Yan Jun-Juh,国立勤益科技大学
日本応用数理学会2025年度年会,◎整数化した4次元Lorenz-Stenflo方程式を用いた擬似乱数ビット列共有手法における同期に関する一考察,宮崎 武,九州情報大学
日本応用数理学会2025年度年会,◎整数化した4次元Lorenz-Stenflo方程式を用いた擬似乱数ビット列共有手法における同期に関する一考察,上原 聡,北九州市立大学
日本応用数理学会2025年度年会,◎整数化した4次元Lorenz-Stenflo方程式を用いた擬似乱数ビット列共有手法における同期に関する一考察,荒木 俊輔,九州工業大学
日本応用数理学会2025年度年会,拡張型カオス尺度を用いたLang-Kobayashi方程式のカオスの定量化について,井上 啓,山陽小野田市立山口東京理科大学
日本応用数理学会2025年度年会,カオス超越性を用いたレーザーカオスによるTHｚ波の出力,桒島 史欣,追手門学院大学
日本応用数理学会2025年度年会,カオス超越性を用いたレーザーカオスによるTHｚ波の出力,Jarrahi Mona,UCLA
日本応用数理学会2025年度年会,カオス超越性を用いたレーザーカオスによるTHｚ波の出力,Cakmakyapan Semih,UCLA
日本応用数理学会2025年度年会,カオス超越性を用いたレーザーカオスによるTHｚ波の出力,和田 健司,大阪公立大学
日本応用数理学会2025年度年会,カオス超越性を用いたレーザーカオスによるTHｚ波の出力,原口  雅宣,徳島大学
日本応用数理学会2025年度年会,カオス超越性を用いたレーザーカオスによるTHｚ波の出力,川上 由紀,福井工業高等専門学校
日本応用数理学会2025年度年会,カオス超越性を用いたレーザーカオスによるTHｚ波の出力,守安 毅,福井大学工学部
日本応用数理学会2025年度年会,カオス超越性を用いたレーザーカオスによるTHｚ波の出力,森川  治,海上保安大学校
日本応用数理学会2025年度年会,カオス超越性を用いたレーザーカオスによるTHｚ波の出力,栗原  一嘉,福井大学教育学部
日本応用数理学会2025年度年会,カオス超越性を用いたレーザーカオスによるTHｚ波の出力,北原  英明,福井大学遠赤外領域開発研究センター
日本応用数理学会2025年度年会,カオス超越性を用いたレーザーカオスによるTHｚ波の出力,古屋 岳,福井大学 遠赤外領域開発研究センター
日本応用数理学会2025年度年会,カオス超越性を用いたレーザーカオスによるTHｚ波の出力,中嶋 誠,大阪大学レーザー科学研究所
日本応用数理学会2025年度年会,カオス超越性を用いたレーザーカオスによるTHｚ波の出力,谷 正彦,福井大学 遠赤外領域開発研究センター
日本応用数理学会2025年度年会,心拍変動における加齢に伴うカオス尺度の変化,真尾 朋行,東芝情報システム株式会社
日本応用数理学会2025年度年会,心拍変動における加齢に伴うカオス尺度の変化,奥富 秀俊,東芝情報システム株式会社
日本応用数理学会2025年度年会,心拍変動における加齢に伴うカオス尺度の変化,梅野 健,京都大学大学院情報学研究科
日本応用数理学会2025年度年会,◎遅延微分方程式に基づく馴化の数理モデルとその入力感受性に関する考察,小松 瑞果,神戸大学
日本応用数理学会2025年度年会,◎遅延微分方程式に基づく馴化の数理モデルとその入力感受性に関する考察,礒島 隆史,理化学研究所
日本応用数理学会2025年度年会,◎遅延微分方程式に基づく馴化の数理モデルとその入力感受性に関する考察,桑島 史欣,追手門学院大学
日本応用数理学会2025年度年会,Extreme Learning Machineによる越分岐予測,田所 智,北海道大学大学院 理学研究院数学部門
日本応用数理学会2025年度年会,Extreme Learning Machineによる越分岐予測,山口 明宏,福岡工業大学 情報システム工学科
